Entidad,Quintil,Año,Hombres,Mujeres,%_Hombres_quintil,%_Mujeres_quintil,%_hombres_sexo,%_mujeres_sexo,,,,,,,,,,
Campeche,V,2018,57199,26735,22.2,14.9,68.1,31.9,,,,,,,,,,
Chiapas,V,2018,323104,108214,39.1,21.6,74.9,25.1,,,,,,,,,,
Chihuahua,V,2018,68584,31044,32.1,19.5,68.8,31.2,,,,,,,,,,
Coahuila De Zaragoza,V,2018,127020,77223,9.0,7.7,62.2,37.8,,,,,,,,,,
Colima,V,2018,361581,145966,35.5,21.9,71.2,28.8,,,,,,,,,,
Distrito Federal,V,2018,936007,598526,40.3,33.6,61.0,39.0,,,,,,,,,,
Durango,V,2018,112875,42625,24.7,15.6,72.6,27.4,,,,,,,,,,
Guanajuato,V,2018,334544,152652,21.3,14.3,68.7,31.3,,,,,,,,,,
Guerrero,V,2018,119904,66063,13.0,9.8,64.5,35.5,,,,,,,,,,
Hidalgo,V,2018,156412,69204,19.2,11.6,69.3,30.7,,,,,,,,,,
Jalisco,V,2018,713313,342914,31.5,21.2,67.5,32.5,,,,,,,,,,
Mexico,V,2018,1227805,556580,25.5,17.8,68.8,31.2,,,,,,,,,,
Michoacan de Ocampo,V,2018,251738,95634,19.6,11.6,72.5,27.5,,,,,,,,,,
Morelos,V,2018,83919,35213,15.6,9.3,70.4,29.6,,,,,,,,,,
Nayarit,V,2018,94968,43501,27.0,17.9,68.6,31.4,,,,,,,,,,
Nuevo Leon,V,2018,844712,316699,55.4,35.4,72.7,27.3,,,,,,,,,,
Oaxaca,V,2018,117302,81111,11.2,10.7,59.1,40.9,,,,,,,,,,
Puebla,V,2018,264931,108936,15.9,9.4,70.9,29.1,,,,,,,,,,
Queretaro de Arteaga,V,2018,191247,84808,34.3,21.2,69.3,30.7,,,,,,,,,,
Quintana Roo,V,2018,218888,89628,41.6,27.1,70.9,29.1,,,,,,,,,,
San Luis Potosi,V,2018,155280,71733,20.7,15.3,68.4,31.6,,,,,,,,,,
Sinaloa,V,2018,227631,100588,27.8,20.0,69.4,30.6,,,,,,,,,,
Sonora,V,2018,286271,120845,33.7,22.0,70.3,29.7,,,,,,,,,,
Tabasco,V,2018,133834,54770,20.5,12.6,71.0,29.0,,,,,,,,,,
Tamaulipas,V,2018,257354,120091,27.2,20.2,68.2,31.8,,,,,,,,,,
Tlaxcala,V,2018,65816,31901,17.6,12.2,67.4,32.6,,,,,,,,,,
Veracruz-Llave,V,2018,275342,131051,12.5,8.8,67.8,32.2,,,,,,,,,,
Yucatan,V,2018,157768,58702,23.6,12.5,72.9,27.1,,,,,,,,,,
Zacatecas,V,2018,69289,34769,16.4,15.8,66.6,33.4,,,,,,,,,,
