Entidad,Quintil,Año,Hombres,Mujeres,%_Hombres_quintil,%_Mujeres_quintil,%_hombres_sexo,%_mujeres_sexo,,,,,,,,,,
Campeche,III,2016,44822,17092,20.5,12.9,72.4,27.6,,,,,,,,,,
Chiapas,III,2016,165223,94121,22.2,23.3,63.7,36.3,,,,,,,,,,
Chihuahua,III,2016,37204,26798,20.4,21.8,58.1,41.9,,,,,,,,,,
Coahuila De Zaragoza,III,2016,181935,59966,15.8,9.0,75.2,24.8,,,,,,,,,,
Colima,III,2016,231730,171835,24.9,29.3,57.4,42.6,,,,,,,,,,
Distrito Federal,III,2016,374455,375589,16.9,21.6,49.9,50.1,,,,,,,,,,
Durango,III,2016,93327,49437,22.5,20.4,65.4,34.6,,,,,,,,,,
Guanajuato,III,2016,316512,195467,22.1,21.1,61.8,38.2,,,,,,,,,,
Guerrero,III,2016,134740,64411,17.5,13.9,67.7,32.3,,,,,,,,,,
Hidalgo,III,2016,171533,74744,24.5,17.4,69.7,30.3,,,,,,,,,,
Jalisco,III,2016,376877,276650,19.0,19.7,57.7,42.3,,,,,,,,,,
Mexico,III,2016,996841,567010,24.0,22.3,63.7,36.3,,,,,,,,,,
Michoacan de Ocampo,III,2016,274440,106914,25.2,16.6,72.0,28.0,,,,,,,,,,
Morelos,III,2016,129861,65665,28.4,21.0,66.4,33.6,,,,,,,,,,
Nayarit,III,2016,48878,31924,16.9,16.8,60.5,39.5,,,,,,,,,,
Nuevo Leon,III,2016,157853,149618,11.9,19.4,51.3,48.7,,,,,,,,,,
Oaxaca,III,2016,175197,62923,19.7,13.3,73.6,26.4,,,,,,,,,,
Puebla,III,2016,370369,152654,25.1,16.2,70.8,29.2,,,,,,,,,,
Queretaro de Arteaga,III,2016,108318,80160,21.6,24.1,57.5,42.5,,,,,,,,,,
Quintana Roo,III,2016,70753,41040,16.2,15.7,63.3,36.7,,,,,,,,,,
San Luis Potosi,III,2016,141347,77050,21.3,19.2,64.7,35.3,,,,,,,,,,
Sinaloa,III,2016,149721,96680,20.4,22.8,60.8,39.2,,,,,,,,,,
Sonora,III,2016,137588,93181,18.6,20.8,59.6,40.4,,,,,,,,,,
Tabasco,III,2016,117110,47180,20.4,15.8,71.3,28.7,,,,,,,,,,
Tamaulipas,III,2016,195029,128645,22.5,23.4,60.3,39.7,,,,,,,,,,
Tlaxcala,III,2016,81082,32454,25.6,16.8,71.4,28.6,,,,,,,,,,
Veracruz-Llave,III,2016,381336,151332,20.3,14.8,71.6,28.4,,,,,,,,,,
Yucatan,III,2016,123725,63779,22.9,18.1,66.0,34.0,,,,,,,,,,
Zacatecas,III,2016,90058,35546,25.4,18.4,71.7,28.3,,,,,,,,,,
Nacional,IV,2016,7049019,2933740,23.9,16.0,70.6,29.4,,,,,,,,,,
Aguascalientes,IV,2016,85581,33970,27.9,16.3,71.6,28.4,,,,,,,,,,
Baja California,IV,2016,277318,159255,29.7,27.9,63.5,36.5,,,,,,,,,,
Baja California Sur,IV,2016,54064,27374,25.8,22.2,66.4,33.6,,,,,,,,,,
Campeche,IV,2016,43692,14872,20.0,11.2,74.6,25.4,,,,,,,,,,
Chiapas,IV,2016,213290,90788,28.7,22.5,70.1,29.9,,,,,,,,,,
Chihuahua,IV,2016,52052,21604,28.5,17.5,70.7,29.3,,,,,,,,,,
Coahuila De Zaragoza,IV,2016,109797,50909,9.6,7.6,68.3,31.7,,,,,,,,,,
Colima,IV,2016,236486,104093,25.4,17.8,69.4,30.6,,,,,,,,,,
Distrito Federal,IV,2016,574355,325052,26.0,18.7,63.9,36.1,,,,,,,,,,
